"","time","X_RIGHT_INDEX","Y_RIGHT_INDEX","Z_RIGHT_INDEX","env","speed","vertical_velocity","acceleration","jerk","gesture_ID","gesture_type"
"16614",128070,-0.164678611775251,-0.190142780018607,-0.250223524555508,0.03419398,0.4160849898109,0.00148586432903142,-0.0494252229171934,0.00549131406696718,NA,NA
"16615",128080,-0.163259073321171,-0.18883579151326,-0.246967571109292,0.03291634,0.37626792950748,0.00134018671738849,-0.0446851836629706,0.00456409636135865,NA,NA
"16616",128090,-0.161918169515872,-0.187676185454472,-0.244006471174803,0.0308014,0.333115134496079,0.00120927348580493,-0.0439886076315758,0.0034311345602794,NA,NA
"16618",128100,-0.160703558929672,-0.18658385168775,-0.241674134978003,0.02797955,0.282595680579727,0.0011199332575198,-0.043050898255688,0.0046312761439641,NA,NA
"16619",128110,-0.159657345208767,-0.18553961349131,-0.240223765683269,0.02462466,0.235117522016452,0.00106257983127298,-0.0352873261351328,0.00870308573241097,NA,NA
"16620",128120,-0.158692437584342,-0.184524907342501,-0.239220389859412,0.02092881,0.211932544542787,0.00102444312712548,-0.0178768439454488,0.013103457625956,NA,NA
"16621",128130,-0.157653091280083,-0.183529168562547,-0.237893375451076,0.01710985,0.223933131736715,0.000996259027095167,0.00315942038777302,0.0135740963143472,NA,NA
"16623",128140,-0.156434851242304,-0.182555569868921,-0.235742695045065,0.01339878,0.259169914874869,0.000969917143333711,0.0159850913737262,0.00772870864503943,NA,NA
"16624",128150,-0.155071589627136,-0.181606171994187,-0.232924397553465,0.01000349,0.288249759391903,0.000939134102767757,0.0121150036376549,-0.00229036478653469,NA,NA
"16625",128160,-0.153705166168157,-0.180691247224497,-0.230107212337511,0.007087732,0.284663562223124,0.000897557047897926,-0.00625458635176617,-0.0108638328072889,NA,NA
"16627",128170,-0.152479166184147,-0.179837866575216,-0.227971795967599,0.004755523,0.245486549376013,0.000841112443706467,-0.0273412932725128,-0.0130412044726909,NA,NA
"16628",128180,-0.151447379694282,-0.179058942199778,-0.226747442385506,0.00304157,0.191051394194936,0.000771988071747171,-0.0389568499923755,-0.00820775411237673,NA,NA
"16629",128190,-0.150577559043397,-0.178346217806922,-0.226181787876123,0.001904292,0.144195947387943,0.0006902397425985,-0.0368705966186878,-7.79931072119873e-05,NA,NA
"16631",128200,-0.149921253525992,-0.177734048992889,-0.226242555265925,0.001241677,0.117334072766806,0.000589001187889883,-0.0251324914661571,0.00643630994279486,NA,NA
"16632",128210,-0.149549849712878,-0.177264564128225,-0.227046346526965,0.0009072982,0.112678108191584,0.000470039993028961,-0.0117445059676277,0.00832019564009512,NA,NA
"16633",128220,-0.149375058746521,-0.176913486941136,-0.228292446845781,0.0007550726,0.118429067982313,0.000343344928679381,-0.00416160767982074,0.00571007329572487,NA,NA
"16634",128230,-0.149304721844094,-0.176689353345754,-0.229570783288867,0.0006853429,0.117955552906995,0.000208797698873443,-0.00465029499285782,0.00126787005447741,NA,NA
