"","begintime","endtime","coding","person","id"
"618",36733,38797,"Pointing Stim 1","2",618
"619",40184,41072,"G-Level 2 - middle","2",619
"620",43072,43840,"Pointing Stim 1","1",620
"621",45828,46643,"Feature","2",621
"622",52031,54227,"G-Pointing","1",622
"623",56653,56853,"Pointing Stim 1","1",623
"624",57829,58478,"Pointing Stim 1","2",624
"625",61900,63123,"G-Level 2 - middle","2",625
"626",63123,63962,"G-Pointing","3",626
"627",66839,67530,"G-Pointing","3",627
"628",74316,75874,"Pointing Stim 1","1",628
"629",76919,78281,"G-Pointing","2",629
"630",79323,79850,"Feature","1",630
"631",83279,88312,"Enactment Stim 1","3",631
"632",88312,88971,"G-Pointing","3",632
"633",91611,93240,"G-Pointing","1",633
"634",97166,98422,"G-Pointing","2",634
"635",99632,101875,"G-Pointing","2",635
"636",102999,104701,"Pointing Stim 1","1",636
"637",107022,108846,"G-Pointing","1",637
"638",123820,131189,"G-Enactment","2",638
"639",131494,132728,"Pointing Stim 1","2",639
"640",134697,135298,"G-Pointing","2",640
"641",138997,141608,"Usability","2",641
"642",143940,144852,"Function","2",642
"643",147839,149609,"Feature","1",643
"644",155785,156853,"G-Pointing","2",644
"645",158721,160623,"Enactment Stim 3","2",645
"646",169465,170708,"Feature","2",646
"647",177953,180143,"Stimulus 1 touching","1",647
"648",180143,182645,"Feature","2",648
"649",184441,186800,"G-Pointing","1",649
"650",186903,187683,"Usability","1",650
"651",187683,188317,"Enactment Stim 1","3",651
"652",193790,194957,"Pointing Stim 1","2",652
"653",197332,203199,"G-Enactment","2",653
"654",203199,204734,"Use Case Scenario","3",654
"655",204901,208738,"Usability","3",655
"656",209940,210664,"G-Level 2 - middle","2",656
"657",217885,224499,"Stimulus 1 touching","2",657
"658",224499,225641,"G-Pointing","2",658
"659",233963,235665,"Use Case Scenario","3",659
"660",237633,238534,"Pointing Stim 1","3",660
"661",239649,240176,"G-Pointing","2",661
"662",244340,246136,"Pointing Stim 1","3",662
"663",246136,246372,"Feature","3",663
"664",247510,248544,"Pointing Stim 1","2",664
"665",252471,255617,"G-Pointing","1",665
"666",263343,264322,"G-Pointing","2",666
"667",274804,279242,"Enactment Stim 1","2",667
"668",285948,290430,"Stimulus 1 touching","1",668
"669",290430,292206,"G-Pointing","1",669
"670",298761,299996,"Feature","1",670
"671",300308,309405,"Builds","1",671
"672",309405,312609,"Enactment Stim 2","2",672
"673",321884,326440,"Use Case Scenario","2",673
"674",327757,331961,"Enactment Stim 2","2",674
"675",331961,338832,"Use Case Scenario","2",675
"676",338832,347343,"Stimulus 2 touching","3",676
"677",347343,352375,"Feature","2",677
"678",352375,355985,"Function","2",678
"679",355985,359789,"Usability","2",679
"680",359789,362025,"Enactment Stim 3","2",680
"681",364853,367885,"G-Enactment","2",681
"682",367885,372001,"sketching","2",682
"683",372001,375872,"G-Level 1 - low","3",683
"684",382044,383913,"Stimulus 1 touching","1",684
"685",387525,388923,"G-Enactment","1",685
"686",406128,410973,"Stimulus 3 touching","2",686
"687",410973,412408,"Feature","2",687
"688",426756,427490,"Pointing Stim 3","3",688
"689",429480,430112,"G-Pointing","2",689
"690",435205,437633,"Enactment Stim 3","2",690
"691",439335,442103,"Enactment Stim 3","1",691
"692",442245,450050,"Stimulus 3 touching","2",692
"693",450480,452148,"Function","2",693
"694",456886,458125,"G-Level 1 - low","3",694
"695",464494,468739,"G-Enactment","2",695
"696",475833,478979,"G-Level 2 - middle","2",696
"697",479007,480034,"Usability","1",697
"698",480034,481817,"sketching","2",698
